step,accuracy,mean_log_ratio,correct,total,timestamp
10000,50.00,3.5707,5,10,2025-12-30T11:59:04.126601
11000,50.00,2.9100,5,10,2025-12-30T12:13:43.259933
12000,50.00,1.4856,5,10,2025-12-30T12:28:11.166519
13000,50.00,2.1185,5,10,2025-12-30T12:42:42.252356
14000,50.00,1.5181,5,10,2025-12-30T12:57:39.355944
15000,50.00,2.1305,5,10,2025-12-30T13:12:28.595981
16000,50.00,2.6079,5,10,2025-12-30T13:27:24.459451
17000,50.00,5.3098,5,10,2025-12-30T13:42:27.452228
18000,50.00,4.1280,5,10,2025-12-30T13:56:25.648643
19000,50.00,2.2792,5,10,2025-12-30T14:10:39.088940
20000,50.00,3.2970,5,10,2025-12-30T14:24:36.927628
21000,60.00,2.2255,6,10,2025-12-30T14:38:35.456872
22000,50.00,1.2772,5,10,2025-12-30T14:52:20.003481
23000,30.00,1.0660,3,10,2025-12-30T15:06:32.151271
24000,50.00,3.2783,5,10,2025-12-30T15:20:35.057882
25000,50.00,2.2728,5,10,2025-12-30T15:34:25.458371
26000,50.00,1.1778,5,10,2025-12-30T15:48:24.224652
27000,50.00,1.2725,5,10,2025-12-30T16:02:10.979591
28000,50.00,2.3983,5,10,2025-12-30T16:16:17.401358
29000,50.00,4.2698,5,10,2025-12-30T16:30:19.451118
30000,40.00,7.6542,4,10,2025-12-30T16:44:23.197802
31000,60.00,1.4481,6,10,2025-12-30T16:58:18.545471
32000,50.00,9.9253,5,10,2025-12-30T17:11:54.730817
33000,50.00,12.8197,5,10,2025-12-30T17:25:33.057479
34000,40.00,2.4640,4,10,2025-12-30T17:38:58.043012
35000,50.00,2.6530,5,10,2025-12-30T17:52:20.930704
36000,50.00,2.3152,5,10,2025-12-30T18:05:47.642230
37000,40.00,1.7277,4,10,2025-12-30T18:19:12.959670
38000,50.00,3.3944,5,10,2025-12-30T18:32:42.399450
39000,60.00,4.7540,6,10,2025-12-30T18:46:10.731807
40000,50.00,2.7970,5,10,2025-12-30T18:59:39.097433
41000,40.00,4.8120,4,10,2025-12-30T19:13:08.147937
42000,60.00,5.4026,6,10,2025-12-30T19:26:33.656898
43000,50.00,2.2507,5,10,2025-12-30T19:39:59.917557
44000,50.00,4.5979,5,10,2025-12-30T19:53:36.099392
45000,60.00,4.3501,6,10,2025-12-30T20:07:06.029359
46000,60.00,4.4366,6,10,2025-12-30T20:20:32.600096
47000,60.00,2.5623,6,10,2025-12-30T20:34:00.561326
48000,50.00,1.9584,5,10,2025-12-30T20:47:28.338368
49000,40.00,2.7258,4,10,2025-12-30T21:00:55.795025
50000,50.00,1.5645,5,10,2025-12-30T21:14:24.795267
51000,40.00,1.8090,4,10,2025-12-30T21:27:56.878492
52000,40.00,2.0409,4,10,2025-12-30T21:41:53.470387
53000,50.00,1.9490,5,10,2025-12-30T21:56:17.390299
54000,50.00,1.7890,5,10,2025-12-30T22:10:57.799515
55000,40.00,4.7962,4,10,2025-12-30T22:24:22.756503
56000,50.00,1.8052,5,10,2025-12-30T22:37:45.518714
57000,60.00,2.5922,6,10,2025-12-30T22:51:08.225367
58000,50.00,1.3027,5,10,2025-12-30T23:04:31.366624
59000,50.00,1.3364,5,10,2025-12-30T23:18:04.221501
60000,60.00,1.0911,6,10,2025-12-30T23:31:27.313158
61000,50.00,1.1641,5,10,2025-12-30T23:44:53.740424
62000,50.00,2.1086,5,10,2025-12-30T23:58:23.152699
63000,50.00,1.7316,5,10,2025-12-31T00:11:51.691395
64000,50.00,1.7370,5,10,2025-12-31T00:25:21.461684
65000,40.00,1.0995,4,10,2025-12-31T00:38:52.861953
66000,50.00,1.0421,5,10,2025-12-31T00:52:27.509425
67000,60.00,1.7433,6,10,2025-12-31T01:05:53.915771
68000,50.00,1.5608,5,10,2025-12-31T01:19:18.945774
69000,50.00,3.7545,5,10,2025-12-31T01:32:42.876924
70000,50.00,1.6271,5,10,2025-12-31T01:46:06.710618
71000,50.00,1.1845,5,10,2025-12-31T01:59:38.501541
72000,50.00,1.3619,5,10,2025-12-31T02:13:06.947203
73000,50.00,2.0225,5,10,2025-12-31T02:26:37.205372
74000,50.00,2.5326,5,10,2025-12-31T02:40:14.265442
75000,50.00,0.9075,5,10,2025-12-31T02:53:42.147202
76000,60.00,1.4451,6,10,2025-12-31T03:07:05.296808
77000,50.00,1.3841,5,10,2025-12-31T03:20:28.204843
78000,40.00,1.5095,4,10,2025-12-31T03:33:51.674976
79000,50.00,1.0133,5,10,2025-12-31T03:47:14.497564
80000,30.00,0.8733,3,10,2025-12-31T04:00:42.885933
81000,50.00,1.0682,5,10,2025-12-31T04:14:22.276347
82000,60.00,1.3359,6,10,2025-12-31T04:27:52.822478
83000,50.00,2.7021,5,10,2025-12-31T04:41:22.194649
84000,50.00,1.7760,5,10,2025-12-31T04:54:52.051691
85000,50.00,2.1765,5,10,2025-12-31T05:08:16.272017
86000,50.00,1.6871,5,10,2025-12-31T05:21:40.641110
87000,50.00,1.3720,5,10,2025-12-31T05:35:03.766204
88000,30.00,0.9851,3,10,2025-12-31T05:48:26.718087
89000,50.00,1.0739,5,10,2025-12-31T06:01:51.844543
90000,50.00,1.2991,5,10,2025-12-31T06:15:20.821454
91000,50.00,1.4917,5,10,2025-12-31T06:28:51.395598
92000,60.00,1.6389,6,10,2025-12-31T06:42:21.137743
93000,60.00,1.3608,6,10,2025-12-31T06:55:50.698170
94000,50.00,2.6134,5,10,2025-12-31T07:09:18.465131
95000,60.00,2.1353,6,10,2025-12-31T07:22:42.541112
96000,60.00,1.2218,6,10,2025-12-31T07:36:23.715379
97000,80.00,1.8568,8,10,2025-12-31T07:49:47.718867
98000,50.00,3.5493,5,10,2025-12-31T08:03:12.440739
99000,50.00,1.3672,5,10,2025-12-31T08:16:38.481197
100000,50.00,2.4808,5,10,2025-12-31T08:30:09.989023
101000,50.00,2.1288,5,10,2025-12-31T08:43:40.275735
102000,50.00,0.9919,5,10,2025-12-31T08:57:10.861058
103000,50.00,14.1528,5,10,2025-12-31T09:11:56.108174
104000,50.00,11.3302,5,10,2025-12-31T09:25:36.066617
105000,50.00,5.0549,5,10,2025-12-31T09:39:30.431456
106000,50.00,2.0423,5,10,2025-12-31T09:54:05.611582
107000,60.00,1.5040,6,10,2025-12-31T10:08:23.164353
108000,50.00,1.8825,5,10,2025-12-31T10:22:38.907358
109000,60.00,1.5763,6,10,2025-12-31T10:36:36.852810
110000,40.00,0.9091,4,10,2025-12-31T10:50:45.281058
111000,50.00,1.1537,5,10,2025-12-31T11:04:43.839644
112000,40.00,1.1549,4,10,2025-12-31T11:18:51.134082
113000,70.00,1.1592,7,10,2025-12-31T11:33:20.522463
114000,60.00,1.8540,6,10,2025-12-31T11:47:25.045159
115000,50.00,1.5650,5,10,2025-12-31T12:01:15.097481
