step,loss,probe_accuracy,timestamp
500,7.350758,,2026-01-01T04:11:37.939496
1000,6.179561,,2026-01-01T04:13:52.845893
1000,6.179561,0.7333,2026-01-01T04:13:53.156852
1500,5.428539,,2026-01-01T04:17:37.007614
2000,5.084099,,2026-01-01T04:21:35.092965
2000,5.084099,0.6667,2026-01-01T04:21:35.445343
2500,4.841105,,2026-01-01T04:23:54.203076
3000,4.685792,,2026-01-01T04:26:10.450325
3000,4.685792,0.8000,2026-01-01T04:26:10.691605
3500,4.555858,,2026-01-01T04:28:28.796045
4000,4.381798,,2026-01-01T04:30:45.461695
4000,4.381798,0.8000,2026-01-01T04:30:45.704581
4500,4.189151,,2026-01-01T04:33:04.042416
5000,4.110826,,2026-01-01T04:35:21.321272
5000,4.110826,0.8000,2026-01-01T04:35:21.562593
5500,4.040025,,2026-01-01T04:37:40.211936
6000,4.074524,,2026-01-01T04:39:57.407749
6000,4.074524,0.8667,2026-01-01T04:39:57.710712
6500,3.770441,,2026-01-01T04:42:16.792006
7000,3.905863,,2026-01-01T04:44:34.547490
7000,3.905863,0.8667,2026-01-01T04:44:34.850310
7500,3.693333,,2026-01-01T04:46:53.780705
8000,3.690496,,2026-01-01T04:49:10.902133
8000,3.690496,0.8667,2026-01-01T04:49:11.137124
8500,3.613653,,2026-01-01T04:51:30.082320
9000,3.551869,,2026-01-01T04:53:47.731275
9000,3.551869,0.8000,2026-01-01T04:53:47.964983
9500,3.620973,,2026-01-01T04:56:07.397453
10000,3.374716,,2026-01-01T04:58:25.410826
10000,3.374716,0.9333,2026-01-01T04:58:25.657427
10500,3.386886,,2026-01-01T05:00:44.807987
11000,3.350464,,2026-01-01T05:03:02.995467
11000,3.350464,0.8667,2026-01-01T05:03:03.301024
11500,3.345177,,2026-01-01T05:05:22.568037
12000,3.178076,,2026-01-01T05:07:40.902948
12000,3.178076,0.7333,2026-01-01T05:07:41.174905
12500,3.370264,,2026-01-01T05:10:00.580175
13000,3.236182,,2026-01-01T05:12:19.036575
13000,3.236182,0.7333,2026-01-01T05:12:19.341861
13500,3.071081,,2026-01-01T05:14:39.092471
14000,3.081614,,2026-01-01T05:16:56.727172
14000,3.081614,0.7333,2026-01-01T05:16:56.957698
14500,2.999255,,2026-01-01T05:19:16.142841
15000,3.014882,,2026-01-01T05:21:34.885422
15000,3.014882,0.7333,2026-01-01T05:21:35.188675
15500,2.916865,,2026-01-01T05:23:54.788391
16000,2.923285,,2026-01-01T05:26:12.626018
16000,2.923285,0.9333,2026-01-01T05:26:12.874288
16500,2.822134,,2026-01-01T05:28:32.039935
17000,2.760476,,2026-01-01T05:30:49.889637
17000,2.760476,0.8000,2026-01-01T05:30:50.195297
17500,2.779231,,2026-01-01T05:33:10.338682
18000,2.918290,,2026-01-01T05:35:28.808461
18000,2.918290,0.8667,2026-01-01T05:35:29.111810
18500,2.722670,,2026-01-01T05:37:49.537371
19000,2.531801,,2026-01-01T05:40:08.514320
19000,2.531801,0.8667,2026-01-01T05:40:08.818535
19500,2.705392,,2026-01-01T05:42:29.033911
20000,2.466043,,2026-01-01T05:44:46.777491
20000,2.466043,0.9333,2026-01-01T05:44:47.018307
20500,2.482493,,2026-01-01T05:47:06.372884
21000,2.557791,,2026-01-01T05:49:24.704615
21000,2.557791,0.9333,2026-01-01T05:49:25.018440
21500,2.537189,,2026-01-01T05:51:44.747927
22000,2.422708,,2026-01-01T05:54:03.302148
22000,2.422708,0.8667,2026-01-01T05:54:03.605289
22500,2.196712,,2026-01-01T05:56:23.724489
23000,2.400697,,2026-01-01T05:58:41.393330
23000,2.400697,0.8667,2026-01-01T05:58:41.625641
23500,2.335791,,2026-01-01T06:01:00.641943
24000,2.183691,,2026-01-01T06:03:18.726189
24000,2.183691,0.9333,2026-01-01T06:03:18.960137
24500,2.155072,,2026-01-01T06:05:38.517376
25000,2.278646,,2026-01-01T06:07:55.952632
25000,2.278646,0.8000,2026-01-01T06:07:56.185470
25500,2.371774,,2026-01-01T06:10:15.160598
26000,2.111643,,2026-01-01T06:12:33.901896
26000,2.111643,0.8667,2026-01-01T06:12:34.205843
26500,2.241254,,2026-01-01T06:14:53.853738
27000,2.239964,,2026-01-01T06:17:11.438000
27000,2.239964,0.9333,2026-01-01T06:17:11.671085
27500,2.138297,,2026-01-01T06:19:30.699850
28000,2.238281,,2026-01-01T06:21:48.115330
28000,2.238281,0.8667,2026-01-01T06:21:48.346738
28500,2.121108,,2026-01-01T06:24:07.263787
29000,2.199273,,2026-01-01T06:26:24.878406
29000,2.199273,0.8000,2026-01-01T06:26:25.113338
29500,2.231655,,2026-01-01T06:28:44.118009
30000,2.089358,,2026-01-01T06:31:01.518932
30000,2.089358,0.8000,2026-01-01T06:31:01.760158
30500,2.033609,,2026-01-01T06:33:22.515033
31000,2.196345,,2026-01-01T06:35:40.515333
31000,2.196345,0.8000,2026-01-01T06:35:40.748231
31500,2.246937,,2026-01-01T06:38:02.631965
32000,2.062503,,2026-01-01T06:40:21.431704
32000,2.062503,0.8000,2026-01-01T06:40:21.734408
32500,2.028645,,2026-01-01T06:42:40.566434
33000,1.998801,,2026-01-01T06:44:57.982271
33000,1.998801,0.8667,2026-01-01T06:44:58.227227
33500,1.977718,,2026-01-01T06:47:20.933289
34000,2.114857,,2026-01-01T06:49:38.796344
34000,2.114857,0.8667,2026-01-01T06:49:39.029355
34500,2.058697,,2026-01-01T06:51:58.409727
35000,2.027349,,2026-01-01T06:54:16.158393
35000,2.027349,0.9333,2026-01-01T06:54:16.407220
35500,2.041195,,2026-01-01T06:56:35.649929
36000,1.996623,,2026-01-01T06:58:53.148379
36000,1.996623,0.8667,2026-01-01T06:58:53.380300
36500,2.000162,,2026-01-01T07:01:12.261204
37000,1.941854,,2026-01-01T07:03:29.824808
37000,1.941854,0.9333,2026-01-01T07:03:30.077229
37500,2.024937,,2026-01-01T07:05:49.319793
38000,1.873479,,2026-01-01T07:08:07.055299
38000,1.873479,0.9333,2026-01-01T07:08:07.289965
38500,1.964629,,2026-01-01T07:10:26.449267
39000,2.081220,,2026-01-01T07:12:44.154041
39000,2.081220,0.9333,2026-01-01T07:12:44.387190
39500,1.988952,,2026-01-01T07:15:03.365897
40000,1.895441,,2026-01-01T07:17:21.081186
40000,1.895441,0.8667,2026-01-01T07:17:21.314167
40500,1.918420,,2026-01-01T07:19:40.280304
41000,1.908384,,2026-01-01T07:21:57.905336
41000,1.908384,0.9333,2026-01-01T07:21:58.157149
41500,1.891970,,2026-01-01T07:24:17.924619
42000,1.850590,,2026-01-01T07:26:35.579852
42000,1.850590,0.9333,2026-01-01T07:26:35.825100
42500,1.990507,,2026-01-01T07:28:54.769192
43000,1.888286,,2026-01-01T07:31:12.176561
43000,1.888286,0.8667,2026-01-01T07:31:12.410945
43500,1.935311,,2026-01-01T07:33:31.184134
44000,1.901427,,2026-01-01T07:35:48.507021
44000,1.901427,0.9333,2026-01-01T07:35:48.740456
44500,1.864003,,2026-01-01T07:38:07.781788
45000,1.772985,,2026-01-01T07:40:25.311821
45000,1.772985,0.8667,2026-01-01T07:40:25.544724
45500,1.894467,,2026-01-01T07:42:44.781046
46000,1.993108,,2026-01-01T07:45:02.334080
46000,1.993108,0.7333,2026-01-01T07:45:02.579874
46500,1.971889,,2026-01-01T07:47:23.092085
47000,1.897982,,2026-01-01T07:49:41.167572
47000,1.897982,0.8000,2026-01-01T07:49:41.397654
47500,1.907939,,2026-01-01T07:52:00.568244
48000,1.863379,,2026-01-01T07:54:18.833363
48000,1.863379,0.8667,2026-01-01T07:54:19.135849
48500,1.762301,,2026-01-01T07:56:43.930716
49000,1.724109,,2026-01-01T07:59:02.109469
49000,1.724109,0.8667,2026-01-01T07:59:02.413337
49500,1.815294,,2026-01-01T08:01:22.085218
50000,1.916315,,2026-01-01T08:03:39.475835
50000,1.916315,0.9333,2026-01-01T08:03:39.709984
50500,1.746239,,2026-01-01T08:05:58.693063
51000,1.832058,,2026-01-01T08:08:16.147017
51000,1.832058,0.9333,2026-01-01T08:08:16.390825
51500,1.745276,,2026-01-01T08:10:35.568241
52000,1.804447,,2026-01-01T08:12:52.953586
52000,1.804447,0.8667,2026-01-01T08:12:53.200661
52500,1.697594,,2026-01-01T08:15:12.425775
53000,1.746360,,2026-01-01T08:17:30.766383
53000,1.746360,0.8667,2026-01-01T08:17:31.072023
53500,1.729758,,2026-01-01T08:19:51.279171
54000,1.783369,,2026-01-01T08:22:09.001405
54000,1.783369,0.8667,2026-01-01T08:22:09.304426
54500,1.742720,,2026-01-01T08:24:28.627428
55000,1.707974,,2026-01-01T08:26:46.275793
55000,1.707974,0.9333,2026-01-01T08:26:46.508330
55500,1.821600,,2026-01-01T08:29:06.332441
56000,1.832152,,2026-01-01T08:31:24.762707
56000,1.832152,0.8667,2026-01-01T08:31:25.067218
56500,1.726720,,2026-01-01T08:33:44.556260
57000,1.721955,,2026-01-01T08:36:02.995519
57000,1.721955,0.8000,2026-01-01T08:36:03.224992
57500,1.782546,,2026-01-01T08:38:22.012557
58000,1.785061,,2026-01-01T08:40:39.443174
58000,1.785061,0.8000,2026-01-01T08:40:39.679062
58500,1.806114,,2026-01-01T08:42:58.669029
59000,1.814935,,2026-01-01T08:45:16.030225
59000,1.814935,0.8000,2026-01-01T08:45:16.260201
59500,1.744985,,2026-01-01T08:47:37.527803
60000,1.774630,,2026-01-01T08:49:55.907001
60000,1.774630,0.8667,2026-01-01T08:49:56.147821
60500,1.674158,,2026-01-01T08:52:16.265173
61000,1.753559,,2026-01-01T08:54:34.484543
61000,1.753559,0.9333,2026-01-01T08:54:34.724841
61500,1.909466,,2026-01-01T08:56:54.029105
62000,1.833388,,2026-01-01T08:59:12.354153
62000,1.833388,0.8667,2026-01-01T08:59:12.586793
62500,1.657749,,2026-01-01T09:01:31.454741
63000,1.678802,,2026-01-01T09:03:48.981378
63000,1.678802,0.8667,2026-01-01T09:03:49.225183
63500,1.686272,,2026-01-01T09:06:08.304460
64000,1.600378,,2026-01-01T09:08:25.814178
64000,1.600378,0.8667,2026-01-01T09:08:26.060627
64500,1.628212,,2026-01-01T09:10:45.036370
65000,1.780178,,2026-01-01T09:13:02.372791
65000,1.780178,0.8667,2026-01-01T09:13:02.688412
65500,1.603037,,2026-01-01T09:15:23.230175
66000,1.734029,,2026-01-01T09:17:41.562078
66000,1.734029,0.8667,2026-01-01T09:17:41.800535
66500,1.712867,,2026-01-01T09:20:01.333452
67000,1.702465,,2026-01-01T09:22:19.929826
67000,1.702465,0.9333,2026-01-01T09:22:20.170256
67500,1.713431,,2026-01-01T09:24:39.110603
68000,1.578529,,2026-01-01T09:26:56.735211
68000,1.578529,0.8667,2026-01-01T09:26:56.965901
68500,1.648218,,2026-01-01T09:29:15.929365
69000,1.600272,,2026-01-01T09:31:33.321710
69000,1.600272,0.8667,2026-01-01T09:31:33.568853
69500,1.593805,,2026-01-01T09:33:52.801840
70000,1.654709,,2026-01-01T09:36:10.333028
70000,1.654709,0.8667,2026-01-01T09:36:10.582519
70500,1.651929,,2026-01-01T09:38:30.093616
71000,1.778034,,2026-01-01T09:40:47.699818
71000,1.778034,0.8667,2026-01-01T09:40:47.942424
71500,1.621834,,2026-01-01T09:43:07.551825
72000,1.653015,,2026-01-01T09:45:25.415920
72000,1.653015,0.9333,2026-01-01T09:45:25.655715
72500,1.541964,,2026-01-01T09:47:45.190084
73000,1.572123,,2026-01-01T09:50:02.976823
73000,1.572123,0.8667,2026-01-01T09:50:03.244496
73500,1.637374,,2026-01-01T09:52:22.355289
74000,1.594789,,2026-01-01T09:54:39.975757
74000,1.594789,0.9333,2026-01-01T09:54:40.232349
74500,1.673278,,2026-01-01T09:56:59.485764
75000,1.660212,,2026-01-01T09:59:17.096567
75000,1.660212,0.8667,2026-01-01T09:59:17.344866
75500,1.636283,,2026-01-01T10:01:36.586918
76000,1.562150,,2026-01-01T10:03:54.042874
76000,1.562150,0.8667,2026-01-01T10:03:54.277051
76500,1.554779,,2026-01-01T10:06:13.394755
77000,1.588892,,2026-01-01T10:08:31.124286
77000,1.588892,0.8000,2026-01-01T10:08:31.363197
77500,1.621955,,2026-01-01T10:10:50.438345
78000,1.674231,,2026-01-01T10:13:08.253443
78000,1.674231,0.8667,2026-01-01T10:13:08.492692
78500,1.763286,,2026-01-01T10:15:29.043950
79000,1.669417,,2026-01-01T10:17:46.952620
79000,1.669417,0.9333,2026-01-01T10:17:47.183125
79500,1.588615,,2026-01-01T10:20:06.473393
80000,1.470647,,2026-01-01T10:22:24.446942
80000,1.470647,0.8667,2026-01-01T10:22:24.679824
80500,1.600582,,2026-01-01T10:24:44.104800
81000,1.661198,,2026-01-01T10:27:02.405462
81000,1.661198,0.9333,2026-01-01T10:27:02.712818
81500,1.590467,,2026-01-01T10:29:22.881173
82000,1.548691,,2026-01-01T10:31:40.572944
82000,1.548691,0.9333,2026-01-01T10:31:40.820483
82500,1.560330,,2026-01-01T10:34:00.664732
83000,1.590751,,2026-01-01T10:36:18.839385
83000,1.590751,0.8667,2026-01-01T10:36:19.141814
83500,1.654123,,2026-01-01T10:38:38.762434
84000,1.587245,,2026-01-01T10:40:57.125197
84000,1.587245,0.8667,2026-01-01T10:40:57.428644
84500,1.435351,,2026-01-01T10:43:17.922617
85000,1.610874,,2026-01-01T10:45:37.048349
85000,1.610874,0.9333,2026-01-01T10:45:37.350729
85500,1.616471,,2026-01-01T10:47:57.577067
86000,1.504126,,2026-01-01T10:50:16.239311
86000,1.504126,0.9333,2026-01-01T10:50:16.472058
86500,1.569415,,2026-01-01T10:52:36.203610
87000,1.523785,,2026-01-01T10:54:54.258604
87000,1.523785,0.8667,2026-01-01T10:54:54.498318
87500,1.528633,,2026-01-01T10:57:13.805711
88000,1.524622,,2026-01-01T10:59:32.307289
88000,1.524622,0.9333,2026-01-01T10:59:32.615180
88500,1.547911,,2026-01-01T11:01:51.771094
89000,1.505707,,2026-01-01T11:04:09.707955
89000,1.505707,0.9333,2026-01-01T11:04:09.956451
89500,1.659642,,2026-01-01T11:06:29.143952
90000,1.503203,,2026-01-01T11:08:46.529634
90000,1.503203,0.9333,2026-01-01T11:08:46.783063
90500,1.518867,,2026-01-01T11:11:05.944729
91000,1.558122,,2026-01-01T11:13:23.736763
91000,1.558122,0.9333,2026-01-01T11:13:23.977998
91500,1.509526,,2026-01-01T11:15:43.262264
92000,1.545423,,2026-01-01T11:18:00.921454
92000,1.545423,0.8667,2026-01-01T11:18:01.160099
92500,1.565977,,2026-01-01T11:20:20.319881
93000,1.502378,,2026-01-01T11:22:37.828496
93000,1.502378,0.9333,2026-01-01T11:22:38.069182
93500,1.476298,,2026-01-01T11:24:56.969380
94000,1.612214,,2026-01-01T11:27:14.560271
94000,1.612214,0.9333,2026-01-01T11:27:14.794520
94500,1.547890,,2026-01-01T11:29:33.751927
95000,1.557162,,2026-01-01T11:31:51.227731
95000,1.557162,0.9333,2026-01-01T11:31:51.461300
95500,1.557202,,2026-01-01T11:34:10.373228
96000,1.508091,,2026-01-01T11:36:27.651956
96000,1.508091,0.9333,2026-01-01T11:36:27.882407
96500,1.576270,,2026-01-01T11:38:46.588105
97000,1.560630,,2026-01-01T11:41:04.521998
97000,1.560630,0.8667,2026-01-01T11:41:04.763745
